Pollster,Dates,Romney,Obama,N,Days_to_Election
CBRT/Pepperdine/M4,2012-10-21,33,56,2115,16
USC/LATimes,2012-10-15,39,55,1440,22
PPIC,2012-10-14,41,53,993,23
Reason/Rupe,2012-10-11,38,53,508,26
YouGov,2012-10-04,39,58,1169,33
CBRT/Pepperdine/M4,2012-10-07,33,54,830,30
SurveyUSA,2012-10-07,39,53,539,30
Field/UC Berkeley,2012-09-05,34,58,891,62
PPIC,2012-09-09,39,53,995,58
YouGov,2012-09-07,39,56,1361,60
CBRT/Pepperdine/M4,2012-09-09,33,55,802,58
SurveyUSA,2012-09-09,35,57,524,58
PACE/USC,2012-08-03,33,56,1041,95
CBRT/Pepperdine/M4,2012-07-16,33,52,812,113
Field,2012-06-21,37,55,848,138
SurveyUSA,2012-05-27,36,57,1575,163
Field,2012-05-21,32,48,710,169
USC/LATimes,2012-05-17,37,56,1002,173
PPIC,2012-05-14,39,50,894,176
SurveyUSA,2012-03-29,31,62,1995,222
USC/LATimes,2012-03-14,36,57,1500,237
Field,2012-02-11,35,55,1003,269
Rasmussen,2012-02-08,35,57,500,272
SurveyUSA,2012-02-08,31,60,2088,272
Field,2011-11-15,40,50,1000,357
PPP (D),2011-11-10,36,57,500,362
SurveyUSA,2011-11-10,39,50,800,362
USC/LATimes,2011-10-30,35,52,1500,373
PPP (D),2011-01-28,36,56,892,648
