Pollster,Dates,Romney,Obama,N,Days_to_Election
SurveyUSA,2012-10-23,33,62,554,14
Siena,2012-10-22,35,59,750,15
Marist,2012-10-18,35,61,565,19
YouGov,2012-10-04,35,59,1403,33
YouGov,2012-09-07,36,58,1403,60
Quinnipiac,2012-09-04,34,62,1486,63
Siena,2012-08-14,33,62,671,84
Quinnipiac,2012-07-17,32,55,1779,112
Siena,2012-07-10,34,61,758,119
Siena,2012-06-03,35,59,807,156
Quinnipiac,2012-05-22,31,56,1504,168
Siena,2012-05-06,37,57,766,184
Marist,2012-04-10,35,57,632,210
Siena,2012-04-01,35,60,808,219
Quinnipiac,2012-03-28,33,56,1597,223
Siena,2012-02-26,34,60,808,254
Quinnipiac,2012-02-08,35,52,1233,272
Siena,2012-01-29,31,63,807,282
Marist,2012-01-18,35,58,554,293
Siena,2011-11-08,34,59,803,364
Marist,2011-10-25,35,59,1030,378
Siena,2011-10-10,37,55,800,393
