State,Rank_2004,Rate_2004,Rank_2008,Rate_2008,Rank_2012,Rate_2012
 UNITED STATES,NA,5.5,NA,5.8,NA,8.2
ALABAMA,21,5,23,5,31,8.3
ALASKA,50,7.4,39,6.4,28,7.7
ARIZONA,21,5,35,6,31,8.3
ARKANSAS,35,5.6,25,5.4,22,7.3
CALIFORNIA,43,6.2,49,7.2,49,10.7
COLORADO,35,5.6,19,4.8,31,8.3
CONNECTICUT,19,4.9,32,5.6,36,8.5
DELAWARE,6,3.9,19,4.8,17,6.8
DISTRICT OF COLUMBIA,51,7.5,43,6.6,40,8.9
FLORIDA,17,4.7,36,6.3,39,8.8
GEORGIA,17,4.7,36,6.3,45,9.3
HAWAII,1,3.2,10,4.1,14,6.4
IDAHO,13,4.6,18,4.7,25,7.5
ILLINOIS,43,6.2,39,6.4,40,8.9
INDIANA,28,5.3,33,5.8,30,8.2
IOWA,13,4.6,8,4,6,5.3
KANSAS,32,5.5,13,4.4,13,6.3
KENTUCKY,35,5.6,43,6.6,31,8.3
LOUISIANA,32,5.5,13,4.4,26,7.6
MAINE,13,4.6,25,5.4,26,7.6
MARYLAND,11,4.3,12,4.3,18,7
MASSACHUSETTS,26,5.2,24,5.3,12,6.1
MICHIGAN,48,7.1,51,8.3,42,9
MINNESOTA,13,4.6,25,5.4,9,5.8
MISSISSIPPI,46,6.3,46,6.8,43,9.1
MISSOURI,38,5.8,34,5.9,19,7.2
MONTANA,10,4,15,4.5,14,6.4
NEBRASKA,6,3.9,4,3.3,2,4
NEVADA,12,4.4,48,7,51,12
NEW HAMPSHIRE,6,3.9,7,3.9,7,5.4
NEW JERSEY,19,4.9,31,5.5,48,9.8
NEW MEXICO,38,5.8,15,4.5,16,6.6
NEW YORK,38,5.8,25,5.4,43,9.1
NORTH CAROLINA,32,5.5,36,6.3,46,9.6
NORTH DAKOTA,2,3.5,2,3.1,1,3
OHIO,42,6.1,41,6.5,19,7.2
OKLAHOMA,21,5,6,3.7,4,4.9
OREGON,49,7.3,41,6.5,38,8.7
PENNSYLVANIA,30,5.4,25,5.4,29,7.9
RHODE ISLAND,26,5.2,50,7.7,50,10.8
SOUTH CAROLINA,47,6.8,46,6.8,46,9.6
SOUTH DAKOTA,3,3.7,1,3,3,4.4
TENNESSEE,30,5.4,43,6.6,35,8.4
TEXAS,41,6,22,4.9,19,7.2
UTAH,25,5.1,5,3.5,11,6
VERMONT,3,3.7,15,4.5,5,5
VIRGINIA,3,3.7,8,4,10,5.9
WASHINGTON,43,6.2,25,5.4,36,8.5
WEST VIRGINIA,28,5.3,11,4.2,24,7.4
WISCONSIN,21,5,19,4.8,22,7.3
WYOMING,6,3.9,2,3.1,8,5.6
